Sort_Order,Ticker,Action,Date,Price,Quantity,Reason,RSI,3M Return,6M Return,9M Return,RS,ST Value,ST Dir,Return %,PnL ₹,Holding Days
192,PRESTIGE.NS,SOLD,2024-08-05,1642.74,9,"Close < ST(15,3) (T-1)",57.52,33.69,71.75,187.81,96.0,1489.87,Up,-3.77,-578.68,60.0
193,RVNL.NS,BOUGHT,2024-07-26,579.38,28,Entry,61.38,107.57,157.53,242.68,99.0,544.2,Up,,,
194,GRSE.NS,SOLD,2024-07-26,2218.85,6,SL Gap Down (13%),65.97,197.03,190.18,220.49,99.0,2258.3,Up,-14.36,-2232.24,3.0
195,GRSE.NS,BOUGHT,2024-07-23,2590.89,6,Entry,65.97,197.03,190.18,220.49,99.0,2258.3,Up,,,
196,HUDCO.NS,BOUGHT,2024-07-23,328.69,50,Entry,60.67,67.49,155.1,259.76,99.0,295.75,Up,,,
197,IFCI.NS,BOUGHT,2024-07-23,72.3,230,Entry,61.74,70.77,140.4,212.16,99.0,65.18,Up,,,
198,GVT&D.NS,SOLD,2024-07-23,1458.07,12,"Close < ST(15,3) (T-1)",61.61,54.78,224.72,291.67,99.0,1237.41,Up,13.31,2055.25,48.0
199,HUDCO.NS,SOLD,2024-07-23,274.41,52,Stoploss 13%,58.14,63.04,156.56,264.05,99.0,295.75,Up,-13.87,-2297.05,1.0
200,SOBHA.NS,SOLD,2024-07-23,1766.12,8,"Close < ST(15,3) (T-1)",59.64,22.27,117.58,235.41,97.0,1744.49,Up,-9.13,-1420.36,49.0
201,HUDCO.NS,BOUGHT,2024-07-22,318.58,52,Entry,58.14,63.04,156.56,264.05,99.0,295.75,Up,,,
202,KIRLOSENG.NS,SOLD,2024-07-22,1218.88,13,"Close < ST(15,3) (T-1)",55.55,32.9,115.62,160.28,97.0,1160.93,Up,0.15,23.01,46.0
203,COCHINSHIP.NS,BOUGHT,2024-07-19,2623.0,6,Entry,60.55,148.11,292.0,389.13,99.0,2456.4,Up,,,
204,TRENT.NS,SOLD,2024-07-19,5281.96,4,"Close < ST(15,3) (T-1)",60.68,36.88,90.76,146.06,96.0,3687.57,Up,34.76,5449.83,127.0
205,KIRLOSENG.NS,BOUGHT,2024-06-06,1217.11,13,Entry,55.55,32.9,115.62,160.28,97.0,1160.93,Up,,,
206,PRESTIGE.NS,BOUGHT,2024-06-06,1707.04,9,Entry,57.52,33.69,71.75,187.81,96.0,1489.87,Up,,,
207,SUZLON.NS,BOUGHT,2024-06-06,49.7,335,Entry,61.61,12.15,24.39,125.35,96.0,44.34,Up,,,
208,COCHINSHIP.NS,SOLD,2024-06-06,1726.32,18,"Close < ST(15,3) (T-1)",55.2,40.11,65.37,219.56,98.0,758.62,Up,93.26,14995.46,78.0
209,IFCI.NS,SOLD,2024-06-06,53.23,314,"Close < ST(15,3) (T-1)",61.36,-16.21,141.11,293.96,99.0,46.21,Up,0.51,84.47,24.0
210,GVT&D.NS,BOUGHT,2024-06-05,1286.8,12,Entry,61.61,54.78,224.72,291.67,99.0,1237.41,Up,,,
211,BHEL.NS,SOLD,2024-06-05,253.72,53,"Close < ST(15,3) (T-1)",62.61,36.57,118.18,180.46,97.0,282.29,Up,-18.84,-3120.65,1.0
212,HUDCO.NS,SOLD,2024-06-05,228.85,63,"Close < ST(15,3) (T-1)",64.15,34.03,218.57,271.81,99.0,232.19,Up,-13.25,-2202.64,6.0
213,BHEL.NS,BOUGHT,2024-06-04,312.61,53,Entry,62.61,36.57,118.18,180.46,97.0,282.29,Up,,,
214,SOBHA.NS,BOUGHT,2024-06-04,1943.67,8,Entry,59.64,22.27,117.58,235.41,97.0,1744.49,Up,,,
215,ANANDRATHI.NS,SOLD,2024-06-04,1786.7,8,Stoploss 13%,63.17,46.96,116.25,347.73,99.0,1809.8,Up,-13.87,-2300.95,47.0
216,IRFC.NS,SOLD,2024-06-04,154.95,92,Stoploss 13%,61.49,16.03,129.8,273.76,99.0,166.34,Up,-13.87,-2294.82,4.0
217,IRFC.NS,BOUGHT,2024-05-31,179.89,92,Entry,61.49,16.03,129.8,273.76,99.0,166.34,Up,,,
218,KALYANKJIL.NS,SOLD,2024-05-31,382.93,41,"Close < ST(15,3) (T-1)",59.11,22.51,74.78,201.73,96.0,361.9,Up,-4.95,-817.07,65.0
219,HUDCO.NS,BOUGHT,2024-05-30,263.81,63,Entry,64.15,34.03,218.57,271.81,99.0,232.19,Up,,,
220,HINDCOPPER.NS,SOLD,2024-05-30,351.15,40,Stoploss 13%,65.85,59.15,176.71,171.99,98.0,351.09,Up,-13.87,-2261.09,8.0
221,HINDCOPPER.NS,BOUGHT,2024-05-22,407.68,40,Entry,65.85,59.15,176.71,171.99,98.0,351.09,Up,,,
222,FORCEMOT.NS,SOLD,2024-05-22,8684.36,2,"Close < ST(15,3) (T-1)",67.29,103.67,178.99,438.45,99.0,6279.47,Up,20.02,2896.62,55.0
223,IFCI.NS,BOUGHT,2024-05-13,52.96,314,Entry,61.36,-16.21,141.11,293.96,99.0,46.21,Up,,,
224,ACE.NS,SOLD,2024-05-13,1302.37,10,Stoploss 15%,58.59,67.6,118.25,151.96,97.0,1364.63,Up,-15.85,-2452.29,14.0
225,ACE.NS,BOUGHT,2024-04-29,1547.6,10,Entry,58.59,67.6,118.25,151.96,97.0,1364.63,Up,,,
226,TARIL.NS,SOLD,2024-04-29,302.48,96,"Close < ST(15,3) (T-1)",56.8,76.0,199.78,313.01,99.0,149.69,Up,75.5,12491.76,53.0
227,ANANDRATHI.NS,BOUGHT,2024-04-18,2074.32,8,Entry,63.17,46.96,116.25,347.73,99.0,1809.8,Up,,,
228,OFSS.NS,SOLD,2024-04-18,7858.51,2,"Close < ST(15,3) (T-1)",62.54,90.68,90.95,123.59,96.0,7537.82,Up,-2.26,-362.98,35.0
229,FORCEMOT.NS,BOUGHT,2024-03-28,7236.05,2,Entry,67.29,103.67,178.99,438.45,99.0,6279.47,Up,,,
