DATE,Equity,Benchmark_Value,Drawdown,Daily_Return
2022-06-03,249135.6828028772,120408.32571372682,-0.13296445324329298,-0.006811680088726457
2022-06-06,249686.7374385355,120204.75755786036,-0.13104668718126,0.0022118655563856393
2022-06-07,253993.6931956766,119191.22669024755,-0.11605773137317343,0.01724943744038998
2022-06-08,255677.0825541971,118774.70212120324,-0.11019924335391973,0.006627681724457712
2022-06-09,258033.58358416538,119546.1763189896,-0.10199820953987593,0.009216708069518686
2022-06-10,258405.95759997348,117875.35050398821,-0.10070228314040619,0.0014431222891055917
2022-06-13,254884.88982806186,114754.79066316094,-0.11295621194916039,-0.013626109106054107
2022-06-14,254195.83154711704,114510.16976291226,-0.11535425472105398,-0.002703409689800096
2022-06-15,256366.81460871676,114446.4482192923,-0.10779885573269232,0.008540592693383031
2022-06-16,254627.49565424898,111951.9698760558,-0.11385198848230516,-0.0067844933718212985
2022-06-17,253411.9301940439,111144.13706254291,-0.11808236789464088,-0.004773897088693246
2022-06-20,250493.2472945688,110767.80492604534,-0.12823989248158696,-0.011517543381798112
2022-06-21,251028.1058455942,113258.01512027284,-0.12637849161355996,0.0021352214353165255
2022-06-22,250255.74998774508,111597.44622696046,-0.12906642445387817,-0.0030767704486611702
2022-06-23,250246.19965662935,112718.31561299766,-0.1290996612687232,-3.816228444775138e-05
2022-06-24,251948.91773524263,113947.38382929475,-0.12317390593872057,0.006804171575630846
2022-06-27,253892.15906062105,114991.276187412,-0.11641108783866216,0.0077128385501559205
2022-06-28,253193.8294936655,115159.7720190341,-0.11884139629985824,-0.0027504967839074856
2022-06-29,253662.70938410738,114762.90933407439,-0.11720961265650853,0.001851861442988323
2022-06-30,252231.77930750826,114503.75501058558,-0.12218949842548676,-0.005641073849890765
2022-07-01,253451.5612047861,114562.77407300772,-0.11794444507812263,0.00483595643906054
2022-07-04,254076.28631007174,115231.62058610957,-0.11577029295691654,0.0024648698248928014
2022-07-05,254922.27356135348,115139.24147057196,-0.1128261100493857,0.003329658440651473
2022-07-06,257017.62088191012,116588.54951675115,-0.1055339366068464,0.008219553714486683
2022-07-07,258482.52650629976,117737.21616287057,-0.10043581001694879,0.0056996310967438735
2022-07-08,258781.15693842867,118273.06514824134,-0.09939652412628042,0.001155321545967647
2022-07-11,260968.57225214937,118774.26778901446,-0.09178393803994112,0.008452761165455236
2022-07-12,260535.74314295748,117851.82974545711,-0.09329025868866703,-0.0016585487879118288
2022-07-13,259921.24331843355,117406.64760449511,-0.09542882505276173,-0.0023586008472809006
2022-07-14,258305.07447230318,117198.81129961964,-0.1010533739868642,-0.006217917494917402
2022-07-15,259915.50251185396,117947.62505071037,-0.09544880405904277,0.006234596989008967
2022-07-18,262822.5764788339,119608.61992366947,-0.08533168057811225,0.01118468863490496
2022-07-19,264099.9917925546,120183.8093822936,-0.08088605290845585,0.00486037132287076
2022-07-20,264580.4661883066,121148.16048206865,-0.07921391836820613,0.001819289703459681
